Time,LL_Q,LL_T,LL_C,Regime
13775000,   7739651938,  12752877364,  12512300301,xx
13865000,   7804140153,  12799692239,  12567397131,xx
13875000,   7804140153,  12799692239,  12567397131,xx
13885000,   7804140153,  12799692239,  12567397131,xx
13975000,   7868209343,  12876093402,  12623116397,xx
13985000,   7868209343,  12876093402,  12623116397,xx
13995000,   7868209343,  12876093402,  12623116397,xx
14085000,   7942721584,  12952300855,  12694938639,xx
14095000,   7942721584,  12952300855,  12694938639,xx
14105000,   7942721584,  12952300855,  12694938639,xx
14195000,   7982392291,  13033029869,  12751566971,xx
14205000,   7982392291,  13033029869,  12751566971,xx
14215000,   7982392291,  13033029869,  12751566971,xx
14305000,   8060136366,  13106100136,  12827740226,xx
14315000,   8060136366,  13106100136,  12827740226,xx
14325000,   8060136366,  13106100136,  12827740226,xx
14415000,   8115775799,  13170736662,  12886590839,xx
14425000,   8115775799,  13170736662,  12886590839,xx
14435000,   8115775799,  13170736662,  12886590839,xx
14525000,   8130780153,  13230732738,  12961712483,xx
14535000,   8130780153,  13230732738,  12961712483,xx
14545000,   8130780153,  13230732738,  12961712483,xx
14635000,   8192188178,  13288132710,  13042835162,xx
14645000,   8192188178,  13288132710,  13042835162,xx
14655000,   8192188178,  13288132710,  13042835162,xx
14745000,   8259481627,  13353166366,  13107388151,xx
14755000,   8259481627,  13353166366,  13107388151,xx
14765000,   8259481627,  13353166366,  13107388151,xx
14855000,   8339026050,  13425464117,  13185289907,xx
14865000,   8339026050,  13425464117,  13185289907,xx
14875000,   8339026050,  13425464117,  13185289907,xx
14965000,   8409962554,  13502659741,  13205550808,xx
14975000,   8409962554,  13502659741,  13205550808,xx
14985000,   8409962554,  13502659741,  13205550808,xx
15075000,   8477679231,  13585686099,  13279433711,xx
15085000,   8477679231,  13585686099,  13279433711,xx
15095000,   8477679231,  13585686099,  13279433711,xx
15185000,   8521999915,  13641379936,  13344315901,xx
15195000,   8521999915,  13641379936,  13344315901,xx
15205000,   8521999915,  13641379936,  13344315901,xx
15295000,   8590072022,  13712346547,  13385747965,xx
15305000,   8590072022,  13712346547,  13385747965,xx
15315000,   8590072022,  13712346547,  13385747965,xx
15405000,   8647568213,  17986920000,  13445201606,xx
15415000,   8647568213,  17986920000,  13445201606,xx
15425000,   8647568213,  17986920000,  13445201606,xx
15515000,   8697703078,  18056051515,  13504900639,xx
15525000,   8697703078,  18056051515,  13504900639,xx
15535000,   8697703078,  18056051515,  13504900639,xx
15625000,   8776491005,  18128725731,  13584194525,xx
15635000,   8776491005,  18128725731,  13584194525,xx
15645000,   8776491005,  18128725731,  13584194525,xx
15735000,   8845900532,  18198384847,  13640917154,xx
15745000,   8845900532,  18198384847,  13640917154,xx
15755000,   8845900532,  18198384847,  13640917154,xx
15845000,   8911761717,  18282414925,  13707285830,xx
15855000,   8911761717,  18282414925,  13707285830,xx
15865000,   8911761717,  18282414925,  13707285830,xx
15955000,   8990965819,  18355029560,  13787435841,xx
15965000,   8990965819,  18355029560,  13787435841,xx
15975000,   8990965819,  18355029560,  13787435841,xx
16065000,   9069478166,  18415759459,  13820785566,xx
16075000,   9069478166,  18415759459,  13820785566,xx
16085000,   9069478166,  18415759459,  13820785566,xx
16175000,   9148046774,  18476348457,  13895298631,xx
16185000,   9148046774,  18476348457,  13895298631,xx
16195000,   9148046774,  18476348457,  13895298631,xx
16285000,   9226800330,  18554718713,  13946017399,xx
16295000,   9226800330,  18554718713,  13946017399,xx
16305000,   9226800330,  18554718713,  13946017399,xx
16395000,   9285991860,  18629589249,  14019443157,xx
16405000,   9285991860,  18629589249,  14019443157,xx
16415000,   9285991860,  18629589249,  14019443157,xx
16505000,   9337025746,  18657806626,  14081848111,xx
16515000,   9337025746,  18657806626,  14081848111,xx
16525000,   9337025746,  18657806626,  14081848111,xx
16615000,   9385918355,  18732116888,  14157867512,xx
16625000,   9385918355,  18732116888,  14157867512,xx
16635000,   9385918355,  18732116888,  14157867512,xx
16725000,   9444407066,  18782046364,  14220949513,xx
16735000,   9444407066,  18782046364,  14220949513,xx
16745000,   9444407066,  18782046364,  14220949513,xx
16835000,   9488389452,  18846454119,  14285609094,xx
16845000,   9488389452,  18846454119,  14285609094,xx
16855000,   9488389452,  18846454119,  14285609094,xx
16945000,   9532899598,  18902249554,  14343091858,xx
16955000,   9532899598,  18902249554,  14343091858,xx
16965000,   9532899598,  18902249554,  14343091858,xx
17055000,   9592848965,  18975647217,  14416259939,xx
17065000,   9592848965,  18975647217,  14416259939,xx
17075000,   9592848965,  18975647217,  14416259939,xx
17165000,   9671343678,  19053218872,  14458353856,xx
17175000,   9671343678,  19053218872,  14458353856,xx
17185000,   9671343678,  19053218872,  14458353856,xx
17275000,   9719114867,  19116875365,  14524800677,xx
17285000,   9719114867,  19116875365,  14524800677,xx
17295000,   9719114867,  19116875365,  14524800677,xx
17385000,   9798600200,  19200935821,  14606577792,xx
17395000,   9798600200,  19200935821,  14606577792,xx
17405000,   9798600200,  19200935821,  14606577792,xx
17495000,   9875004601,  19284822081,  14684236430,xx
17505000,   9875004601,  19284822081,  14684236430,xx
17515000,   9875004601,  19284822081,  14684236430,xx
17605000,   9934479330,  19354824328,  14762309965,xx
17615000,   9934479330,  19354824328,  14762309965,xx
17625000,   9934479330,  19354824328,  14762309965,xx
17715000,  10004922713,  19417794221,  14809527449,xx
17725000,  10004922713,  19417794221,  14809527449,xx
17735000,  10004922713,  19417794221,  14809527449,xx
17825000,  10069917307,  19495806120,  14865454810,xx
17835000,  10069917307,  19495806120,  14865454810,xx
17845000,  10069917307,  19495806120,  14865454810,xx
17935000,  10117795183,  19576823986,  14947830433,xx
17945000,  10117795183,  19576823986,  14947830433,xx
17955000,  10117795183,  19576823986,  14947830433,xx
18045000,  10185264925,  19629529811,  14991508282,xx
18055000,  10185264925,  19629529811,  14991508282,xx
18065000,  10185264925,  19629529811,  14991508282,xx
18155000,  10224706616,  19700204060,  15072458447,xx
18165000,  10224706616,  19700204060,  15072458447,xx
18175000,  10224706616,  19700204060,  15072458447,xx
18265000,  10302129656,  19780337582,  15149777856,xx
18275000,  10302129656,  19780337582,  15149777856,xx
18285000,  10302129656,  19780337582,  15149777856,xx
18375000,  10380416674,  19854274474,  15232263893,xx
18385000,  10380416674,  19854274474,  15232263893,xx
18395000,  10380416674,  19854274474,  15232263893,xx
18485000,  10445338208,  19905104576,  15310477468,xx
18495000,  10445338208,  19905104576,  15310477468,xx
18505000,  10445338208,  19905104576,  15310477468,xx
18595000,  10518683819,  19988195046,  15372518210,xx
18605000,  10518683819,  19988195046,  15372518210,xx
18615000,  10518683819,  19988195046,  15372518210,xx
18705000,  10591464098,  20062623041,  15454980993,xx
18715000,  10591464098,  20062623041,  15454980993,xx
18725000,  10591464098,  20062623041,  15454980993,xx
18815000,  10667695958,  20134584779,  15512966846,xx
18825000,  10667695958,  20134584779,  15512966846,xx
18835000,  10667695958,  20134584779,  15512966846,xx
18925000,  10747314031,  20211811008,  15577830918,xx
18935000,  10747314031,  20211811008,  15577830918,xx
18945000,  10747314031,  20211811008,  15577830918,xx
19035000,  10815819138,  20285402850,  15597569653,xx
19045000,  10815819138,  20285402850,  15597569653,xx
19055000,  10815819138,  20285402850,  15597569653,xx
19145000,  10892340325,  20347291236,  15679707472,xx
19155000,  10892340325,  20347291236,  15679707472,xx
19165000,  10892340325,  20347291236,  15679707472,xx
19255000,  10955600223,  20406598736,  15759548065,xx
19265000,  10955600223,  20406598736,  15759548065,xx
19275000,  10955600223,  20406598736,  15759548065,xx
19365000,  11028529980,  20458038143,  15810623594,xx
19375000,  11028529980,  20458038143,  15810623594,xx
19385000,  11028529980,  20458038143,  15810623594,xx
19475000,  11107026352,  20532391281,  15843038113,xx
19485000,  11107026352,  20532391281,  15843038113,xx
19495000,  11107026352,  20532391281,  15843038113,xx
19585000,  11180355353,  20615601482,  15915177906,xx
19595000,  11180355353,  20615601482,  15915177906,xx
19605000,  11180355353,  20615601482,  15915177906,xx
19695000,  11248974743,  20697113818,  15993640968,xx
19705000,  11248974743,  20697113818,  15993640968,xx
19715000,  11248974743,  20697113818,  15993640968,xx
19805000,  11317342162,  20742859736,  16074244981,xx
19815000,  11317342162,  20742859736,  16074244981,xx
19825000,  11317342162,  20742859736,  16074244981,xx
19915000,  11393310934,  20805287252,  16148225032,xx
19925000,  11393310934,  20805287252,  16148225032,xx
19935000,  11393310934,  20805287252,  16148225032,xx
20025000,  11460734449,  20881778016,  16226647686,xx
20035000,  11460734449,  20881778016,  16226647686,xx
20045000,  11460734449,  20881778016,  16226647686,xx
20135000,  11491204270,  20936995936,  16303992300,xx
20145000,  11491204270,  20936995936,  16303992300,xx
20155000,  11491204270,  20936995936,  16303992300,xx
20245000,  11551366561,  21012378290,  16384518246,xx
20255000,  11551366561,  21012378290,  16384518246,xx
20265000,  11551366561,  21012378290,  16384518246,xx
20355000,  11591757618,  21085957076,  16456280873,xx
20365000,  11591757618,  21085957076,  16456280873,xx
20375000,  11591757618,  21085957076,  16456280873,xx
20465000,  11665800443,  21154787168,  16512107511,xx
20475000,  11665800443,  21154787168,  16512107511,xx
20485000,  11665800443,  21154787168,  16512107511,xx
20575000,  11729218029,  21230083581,  16583281930,xx
20585000,  11729218029,  21230083581,  16583281930,xx
20595000,  11729218029,  21230083581,  16583281930,xx
20685000,  11798126637,  21312832230,  16646161711,xx
